time,cell_fraction,cell_type
27,1.308766422,B
34,6.341816079,B
41,9.97826985,B
51,13.18648269,B
61,12.81219532,B
75,15.04527803,B
90,14.18003801,B
110,13.61282327,B
27, 1.96,B_upper
34, 8.63,B_upper
41, 13.44,B_upper
51, 17.16,B_upper
61, 16.22,B_upper
75, 19.37,B_upper
90, 19.78,B_upper
110, 18.47,B_upper
11,1.32429976,GM
16,4.356110055,GM
21,11.6382715,GM
27,15.57969099,GM
34,14.90473436,GM
42,14.71445096,GM
51,11.36495084,GM
61,10.86953648,GM
75,12.49467074,GM
90,14.240932,GM
110,13.1875568,GM
11.90107184,0.210086839,RBC
15.78797293,2.599044024,RBC
20.82864314,7.596000141,RBC
26.6667714,9.983779049,RBC
33.87500049,11.71855669,RBC
41.67425346,12.58341221,RBC
51.04014391,12.57775648,RBC
60.79769372,12.35447294,RBC
74.85312774,11.3314926,RBC
89.87946223,11.03256366,RBC
110.1689257,11.52755794,RBC
27,0.03346278,T
34,0.81550029,T
42,3.17615467,T
51,7.35701892,T
61,12,T
75,18.3855243,T
90,18.9172106,T
110,16.2850533,T
27,0.75,T_upper
34,1.50,T_upper
42,4.61,T_upper
51,8.73,T_upper
61,16.23,T_upper
75,22.93,T_upper
90,24.16,T_upper
110,21.64,T_upper
