time,cell_count,cell_type
12.01076116,3.804126044,GM
16.15413462,33.95855568,GM
21.34427566,160.3466608,GM
26.84127286,271.5918182,GM
33.68178483,261.1052922,GM
42.30473654,310.0015717,GM
50.63191935,308.4845395,GM
61.18666268,421.3964652,GM
74.57191772,326.4451028,GM
90.92855784,334.9471002,GM
109.9588576,471.6459732,GM
27.60694584,24.53924166,B
34.12560124,334.3168492,B
42.29658415,750.132378,B
51.06595288,1140.525009,B
61.47493138,1133.552651,B
75.15530313,1124.453762,B
90.17495041,1002.411924,B
110.0967961,1514.118225,B
26.75485747,0.317629805,T
34.15918911,8.770196437,T
42.32267181,44.36710193,T
51.37965706,194.7514467,T
61.4889535,247.9421655,T
75.31182913,481.3716422,T
90.33441126,312.1953851,T
110.2556048,506.106556,T
9,879,RBC
12,19501,RBC
16,202811,RBC
21,619104,RBC
27,1023656,RBC
34,1021569,RBC
42,1265138,RBC
51,1217139,RBC
61,1352095,RBC
75,1009093,RBC
90,1119152,RBC
110,1195696,RBC
9,476,RBClower
12,8823,RBClower
16,98623,RBClower
21,387473,RBClower
27,664182,RBClower
34,765637,RBClower
42,1019071,RBClower
51,945652,RBClower
61,909444,RBClower
75,678704,RBClower
90,726176,RBClower
110,696285,RBClower
