time, cell_count, cell_type
11.8194849,0.490838983,B
16.171068,41.50802851,B
21.56999373,46.82071323,B
26.40943894,80.11579336,B
34.93264095,90.4400355,B
42.18079056,118.4461871,B
50.84355664,118.7010533,B
61.20802493,105.6445982,B
75.54884487,94.11709302,B
90.029841,76.68522842,B
110.1944001,72.6143663,B
20.88502798,0.158685275,T
27.03808936,1.527419371,T
34.20605084,40.4710523,T
42.02898403,73.55431832,T
51.11839991,75.94840757,T
61.34207989,71.73949133,T
75.2501288,46.05655903,T
90.44424834,43.55787822,T
110.7477594,35.54163097,T
9,1651,RBC
12,51579,RBC
15,426600,RBC
21,687400,RBC
27,599809,RBC
34,441388,RBC
42,385144,RBC
51,255879,RBC
61,105501,RBC
75,16192,RBC
90,157,RBC
110,49,RBC
9,1215,RBClower
12,34268,RBClower
16,313927,RBClower
21,505844,RBClower
27,426600,RBClower
34,303410,RBClower
42,255879,RBClower
51,164303,RBClower
61,72521,RBClower
75,10758,RBClower
90,116,RBClower
110,35,RBClower
